ID,state,rhythmic
MAR01,High,T
MAR02,High,F
JUL15,High,T
JUL16,High,T
JUL17,High,T
JUL18,High,T
JUL19,High,T
JUL20,High,T
JUL21,High,T
JUL23,High,F
OCT01,High,T
OCT08,High,T
OCT09,High,T
OCT10,High,T
OCT13,High,T
OCT14,High,T
FEV01,High,F
FEV02,High,T
FEV03,High,T
FEV05,High,T
FEV06,High,T
MAR01,Medium,T
MAR02,Medium,T
JUL15,Medium,T
JUL16,Medium,F
JUL17,Medium,F
JUL18,Medium,T
JUL19,Medium,F
JUL20,Medium,T
JUL21,Medium,F
JUL23,Medium,F
OCT01,Medium,F
OCT08,Medium,T
OCT09,Medium,F
OCT10,Medium,T
OCT13,Medium,T
OCT14,Medium,F
FEV01,Medium,F
FEV02,Medium,F
FEV03,Medium,T
FEV05,Medium,T
FEV06,Medium,T
MAR01,Low,T
MAR02,Low,F
JUL15,Low,T
JUL16,Low,F
JUL17,Low,T
JUL18,Low,T
JUL19,Low,T
JUL20,Low,T
JUL21,Low,F
JUL23,Low,F
OCT01,Low,T
OCT08,Low,T
OCT09,Low,T
OCT10,Low,T
OCT13,Low,T
OCT14,Low,T
FEV01,Low,F
FEV02,Low,T
FEV03,Low,T
FEV05,Low,T
FEV06,Low,T
MAR01,vedba,T
MAR02,vedba,F
JUL15,vedba,T
JUL16,vedba,F
JUL17,vedba,T
JUL18,vedba,T
JUL19,vedba,T
JUL20,vedba,T
JUL21,vedba,F
JUL23,vedba,F
OCT01,vedba,T
OCT08,vedba,T
OCT09,vedba,T
OCT10,vedba,T
OCT13,vedba,T
OCT14,vedba,T
FEV01,vedba,F
FEV02,vedba,T
FEV03,vedba,T
FEV05,vedba,T
FEV06,vedba,T
